Scenario,Distribution,Target_Skewness,Target_ExcessKurtosis,Achieved_Skewness,Achieved_ExcessKurtosis,Lambda,L,Method,Shift_Size,ARL1,SDRL1,MRL1
Skewness,Skew-Normal,2,NA,0.982563081,0.857762439,0.2,2.8537,SC,0.25,375.3375,480.5051104,186
Skewness,Skew-Normal,2,NA,0.970132167,0.756084196,0.3,2.9286,EWMA,0.25,98.302,155.0606474,49
Skewness,Skew-Normal,2,NA,0.996615758,0.824244862,0.3,2.9286,WV,0.25,67.2268,109.2911214,35
Skewness,Skew-Normal,2,NA,0.998504028,0.850441155,0.3,2.9286,WSD,0.25,48.8587,67.04919607,28
Skewness,Skew-Normal,2,NA,0.982454514,0.822814047,0.3,2.9286,SC,0.25,469.7298,565.1399813,232
Skewness,Skew-Normal,2,NA,0.982382405,0.804826365,0.1,2.6952,EWMA,0.5,32.0803,38.05800432,21
Skewness,Skew-Normal,2,NA,1.046312648,1.050724886,0.1,2.6952,WV,0.5,25.7529,28.93485725,18
Skewness,Skew-Normal,2,NA,0.987383431,0.820138144,0.1,2.6952,WSD,0.5,22.0751,23.08928694,15
Skewness,Skew-Normal,2,NA,0.964768172,0.811075053,0.1,2.6952,SC,0.5,121.2597,220.1436767,54
Skewness,Skew-Normal,2,NA,0.992236244,0.861356125,0.2,2.8537,EWMA,0.5,37.4991,53.86337833,22
Skewness,Skew-Normal,2,NA,1.015976315,0.959975443,0.2,2.8537,WV,0.5,28.3988,41.75555665,17
Skewness,Skew-Normal,2,NA,1.024829658,0.996970292,0.2,2.8537,WSD,0.5,22.0323,26.54658789,14
Skewness,Skew-Normal,2,NA,0.985487133,0.869713651,0.2,2.8537,SC,0.5,203.8657,348.3893896,80
Skewness,Skew-Normal,2,NA,1.012695299,0.946864058,0.3,2.9286,EWMA,0.5,40.5429,59.43611717,23
Skewness,Skew-Normal,2,NA,0.964759339,0.73171762,0.3,2.9286,WV,0.5,29.6717,38.30627959,17
Skewness,Skew-Normal,2,NA,1.000960524,0.873251058,0.3,2.9286,WSD,0.5,22.0413,27.43057487,14
Skewness,Skew-Normal,2,NA,0.978835163,0.783835917,0.3,2.9286,SC,0.5,255.1145,401.5490281,104
Skewness,Skew-Normal,2,NA,0.998082065,0.868039276,0.1,2.6952,EWMA,0.75,15.7104,12.43431514,12
Skewness,Skew-Normal,2,NA,1.007243051,0.872779759,0.1,2.6952,WV,0.75,13.5169,10.18657406,11
Skewness,Skew-Normal,2,NA,1.047643386,1.090285137,0.1,2.6952,WSD,0.75,11.8464,8.68113721,10
Skewness,Skew-Normal,2,NA,0.960408485,0.722056108,0.1,2.6952,SC,0.75,38.1175,59.94067552,24
Skewness,Skew-Normal,2,NA,0.986581492,0.865914134,0.2,2.8537,EWMA,0.75,17.3394,18.03600115,12
Skewness,Skew-Normal,2,NA,0.98560176,0.809586304,0.2,2.8537,WV,0.75,14.1595,13.53945314,10
Skewness,Skew-Normal,2,NA,1.044560177,1.006200483,0.2,2.8537,WSD,0.75,11.7958,10.50906972,9
Skewness,Skew-Normal,2,NA,0.964951165,0.755785818,0.2,2.8537,SC,0.75,61.9095,112.2043978,30
Skewness,Skew-Normal,2,NA,1.003372078,0.876532765,0.3,2.9286,EWMA,0.75,19.8634,24.28036025,12
Skewness,Skew-Normal,2,NA,1.003255071,0.979245909,0.3,2.9286,WV,0.75,15.769,17.03943289,11
Skewness,Skew-Normal,2,NA,0.973130425,0.719338925,0.3,2.9286,WSD,0.75,12.137,13.02320972,8
Skewness,Skew-Normal,2,NA,0.969783203,0.756782378,0.3,2.9286,SC,0.75,93.8162,172.1076847,41
Skewness,Skew-Normal,2,NA,0.994811284,0.839006744,0.1,2.6952,EWMA,1,10.0572,5.914442173,9
Skewness,Skew-Normal,2,NA,0.96766871,0.718985792,0.1,2.6952,WV,1,9.0616,5.219782568,8
Skewness,Skew-Normal,2,NA,0.984535523,0.815360935,0.1,2.6952,WSD,1,8.1103,4.625913295,7
Skewness,Skew-Normal,2,NA,0.974100515,0.751904394,0.1,2.6952,SC,1,18.3753,14.81085366,15
Skewness,Skew-Normal,2,NA,1.020457322,0.985948034,0.2,2.8537,EWMA,1,10.3274,8.287802966,8
